Mass_0_X,Mass_0_Y,Mass_1_X,Mass_1_Y,Mass_2_X,Mass_2_Y,Mass_3_X,Mass_3_Y,Mass_4_X,Mass_4_Y,Mass_5_X,Mass_5_Y,Mass_6_X,Mass_6_Y,Mass_7_X,Mass_7_Y,Mass_8_X,Mass_8_Y,Mass_9_X,Mass_9_Y,Mass_10_X,Mass_10_Y,Mass_11_X,Mass_11_Y,Mass_12_X,Mass_12_Y,Mass_13_X,Mass_13_Y,Mass_14_X,Mass_14_Y,Mass_15_X,Mass_15_Y
0.0,-0.6246670325401754,1.0,-0.6246670325401754,2.0,-0.6246670325401754,3.0,-0.6246670325401754,0.0,0.48880097868758005,1.0,0.48880097868758005,2.0,0.48880097868758005,3.0,0.48880097868758005,0.0,1.7005852290456236,1.0,1.7005852290456236,2.0,1.7005852290456236,3.0,1.7005852290456236,0.0,3.0,1.0,3.0,2.0,3.0,3.0,3.0
0.0,-0.6426266642909215,1.0,-0.6426266642909215,2.0,-0.6426266642909215,3.0,-0.6426266642909215,0.0,0.47646014057433905,1.0,0.47646014057433905,2.0,0.47646014057433905,3.0,0.47646014057433905,0.0,1.6940882322417936,1.0,1.6940882322417936,2.0,1.6940882322417936,3.0,1.6940882322417936,0.0,3.0,1.0,3.0,2.0,3.0,3.0,3.0
0.0,-0.6600214327189732,1.0,-0.6600214327189732,2.0,-0.6600214327189732,3.0,-0.6600214327189732,0.0,0.46437044383402437,1.0,0.46437044383402437,2.0,0.46437044383402437,3.0,0.46437044383402437,0.0,1.6876249753997297,1.0,1.6876249753997297,2.0,1.6876249753997297,3.0,1.6876249753997297,0.0,3.0,1.0,3.0,2.0,3.0,3.0,3.0
0.0,-0.6768106453882444,1.0,-0.6768106453882444,2.0,-0.6768106453882444,3.0,-0.6768106453882444,0.0,0.4525300150476405,1.0,0.4525300150476405,2.0,0.4525300150476405,3.0,0.4525300150476405,0.0,1.6812029845262457,1.0,1.6812029845262457,2.0,1.6812029845262457,3.0,1.6812029845262457,0.0,3.0,1.0,3.0,2.0,3.0,3.0,3.0
0.0,-0.6929579153318586,1.0,-0.6929579153318586,2.0,-0.6929579153318586,3.0,-0.6929579153318586,0.0,0.440938471465603,1.0,0.440938471465603,2.0,0.440938471465603,3.0,0.440938471465603,0.0,1.674831269120984,1.0,1.674831269120984,2.0,1.674831269120984,3.0,1.674831269120984,0.0,3.0,1.0,3.0,2.0,3.0,3.0,3.0
0.0,-0.7084314352859853,1.0,-0.7084314352859853,2.0,-0.7084314352859853,3.0,-0.7084314352859853,0.0,0.42959734358161383,1.0,0.42959734358161383,2.0,0.42959734358161383,3.0,0.42959734358161383,0.0,1.6685201121694189,1.0,1.6685201121694189,2.0,1.6685201121694189,3.0,1.6685201121694189,0.0,3.0,1.0,3.0,2.0,3.0,3.0,3.0
0.0,-0.723204182808127,1.0,-0.723204182808127,2.0,-0.723204182808127,3.0,-0.723204182808127,0.0,0.4185104193545625,1.0,0.4185104193545625,2.0,0.4185104193545625,3.0,0.4185104193545625,0.0,1.6622808581254644,1.0,1.6622808581254644,2.0,1.6622808581254644,3.0,1.6622808581254644,0.0,3.0,1.0,3.0,2.0,3.0,3.0,3.0
0.0,-0.7372540522786315,1.0,-0.7372540522786315,2.0,-0.7372540522786315,3.0,-0.7372540522786315,0.0,0.4076840008108127,1.0,0.4076840008108127,2.0,0.4076840008108127,3.0,0.4076840008108127,0.0,1.6561257064528048,1.0,1.6561257064528048,2.0,1.6561257064528048,3.0,1.6561257064528048,0.0,3.0,1.0,3.0,2.0,3.0,3.0,3.0
0.0,-0.7505639114394493,1.0,-0.7505639114394493,2.0,-0.7505639114394493,3.0,-0.7505639114394493,0.0,0.3971270664329528,1.0,0.3971270664329528,2.0,0.3971270664329528,3.0,0.3971270664329528,0.0,1.6500675171750692,1.0,1.6500675171750692,2.0,1.6500675171750692,3.0,1.6500675171750692,0.0,3.0,1.0,3.0,2.0,3.0,3.0,3.0
0.0,-0.7631215818339013,1.0,-0.7631215818339013,2.0,-0.7631215818339013,3.0,-0.7631215818339013,0.0,0.3868513355767733,1.0,0.3868513355767733,2.0,0.3868513355767733,3.0,0.3868513355767733,0.0,1.6441196335972998,1.0,1.6441196335972998,2.0,1.6441196335972998,3.0,1.6441196335972998,0.0,3.0,1.0,3.0,2.0,3.0,3.0,3.0
0.0,-0.7749197442298397,1.0,-0.7749197442298397,2.0,-0.7749197442298397,3.0,-0.7749197442298397,0.0,0.37687123406769396,1.0,0.37687123406769396,2.0,0.37687123406769396,3.0,0.37687123406769396,0.0,1.6382957259612312,1.0,1.6382957259612312,2.0,1.6382957259612312,3.0,1.6382957259612312,0.0,3.0,1.0,3.0,2.0,3.0,3.0,3.0
0.0,-0.7859557717905434,1.0,-0.7859557717905434,2.0,-0.7859557717905434,3.0,-0.7859557717905434,0.0,0.36720376302203706,1.0,0.36720376302203706,2.0,0.36720376302203706,3.0,0.36720376302203706,0.0,1.6326096583429073,1.0,1.6326096583429073,2.0,1.6326096583429073,3.0,1.6326096583429073,0.0,3.0,1.0,3.0,2.0,3.0,3.0,3.0
0.0,-0.7962314953588698,1.0,-0.7962314953588698,2.0,-0.7962314953588698,3.0,-0.7962314953588698,0.0,0.3578682757302745,1.0,0.3578682757302745,2.0,0.3578682757302745,3.0,0.3578682757302745,0.0,1.6270753796510449,1.0,1.6270753796510449,2.0,1.6270753796510449,3.0,1.6270753796510449,0.0,3.0,1.0,3.0,2.0,3.0,3.0,3.0
0.0,-0.8057529066991561,1.0,-0.8057529066991561,2.0,-0.8057529066991561,3.0,-0.8057529066991561,0.0,0.3488861700460972,1.0,0.3488861700460972,2.0,0.3488861700460972,3.0,0.3488861700460972,0.0,1.6217068381940158,1.0,1.6217068381940158,2.0,1.6217068381940158,3.0,1.6217068381940158,0.0,3.0,1.0,3.0,2.0,3.0,3.0,3.0
0.0,-0.8145298068605331,1.0,-0.8145298068605331,2.0,-0.8145298068605331,3.0,-0.8145298068605331,0.0,0.34028050607134946,1.0,0.34028050607134946,2.0,0.34028050607134946,3.0,0.34028050607134946,0.0,1.6165179180039764,1.0,1.6165179180039764,2.0,1.6165179180039764,3.0,1.6165179180039764,0.0,3.0,1.0,3.0,2.0,3.0,3.0,3.0
0.0,-0.8225754079519502,1.0,-0.8225754079519502,2.0,-0.8225754079519502,3.0,-0.8225754079519502,0.0,0.332075560946304,1.0,0.332075560946304,2.0,0.332075560946304,3.0,0.332075560946304,0.0,1.611522393984359,1.0,1.611522393984359,2.0,1.611522393984359,3.0,1.611522393984359,0.0,3.0,1.0,3.0,2.0,3.0,3.0,3.0
